targetA.tStart,targetA.frameNStart,targetA.tEnd,targetA.frameNEnd,targetB.tStart,targetB.frameNStart,targetB.tEnd,targetB.frameNEnd,target_preference,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial_id,fixateStartTime,fixateDuration,targetStartTime,targetDuration,colour1,colour2,participant,session,date,expName,psychopyVersion,OS,frameRate
2.002,120,2.5,150,2.002,120,2.5,150,2,0,27,27,43,1,44,0.5,1,2,0.5,#a03663,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.015,121,2.515,151,2.015,121,2.515,151,2,0,28,28,52,1,53,0.5,1,2,0.5,#4b488e,#006a8b,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.012,121,2.512,151,2.012,121,2.512,151,2,0,29,29,6,1,7,0.5,1,2,0.5,#d2b700,#005692,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.014,121,2.5,150,2.014,121,2.5,150,5,0,30,30,18,1,19,0.5,1,2,0.5,#db8b08,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.015,121,2.514,151,2.015,121,2.514,151,3,0,31,31,7,1,8,0.5,1,2,0.5,#d2b700,#006a8b,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.013,121,2.513,151,2.013,121,2.513,151,2,0,32,32,33,1,34,0.5,1,2,0.5,#c13547,#005692,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.502,150,2.001,120,2.502,150,4,0,33,33,38,1,39,0.5,1,2,0.5,#a03663,#753a7a,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.503,150,2,120,2.503,150,5,0,34,34,23,1,24,0.5,1,2,0.5,#c7512c,#753a7a,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.502,150,2,120,2.502,150,4,0,35,35,42,1,43,0.5,1,2,0.5,#a03663,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.014,121,2.513,151,2.014,121,2.513,151,3,0,36,36,59,1,60,0.5,1,2,0.5,#005692,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.01,121,2.512,151,2.01,121,2.512,151,5,0,37,37,9,1,10,0.5,1,2,0.5,#d2b700,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.501,150,2,120,2.501,150,2,0,38,38,10,1,11,0.5,1,2,0.5,#d2b700,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.5,150,2,120,2.5,150,2,0,39,39,48,1,49,0.5,1,2,0.5,#753a7a,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.015,121,2.5,150,2.015,121,2.5,150,2,0,40,40,40,1,41,0.5,1,2,0.5,#a03663,#005692,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.002,120,2.502,150,2.002,120,2.502,150,5,0,41,41,13,1,14,0.5,1,2,0.5,#db8b08,#a03663,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.015,121,2.515,151,2.015,121,2.515,151,1,0,42,42,47,1,48,0.5,1,2,0.5,#753a7a,#006a8b,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.016,121,2.515,151,2.016,121,2.515,151,5,0,43,43,30,1,31,0.5,1,2,0.5,#c13547,#a03663,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.01,121,2.51,151,2.01,121,2.51,151,5,0,44,44,36,1,37,0.5,1,2,0.5,#c13547,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.517,151,2,120,2.517,151,2,0,45,45,39,1,40,0.5,1,2,0.5,#a03663,#4b488e,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.502,150,2,120,2.502,150,2,0,46,46,20,1,21,0.5,1,2,0.5,#db8b08,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.501,150,2.001,120,2.501,150,2,0,47,47,34,1,35,0.5,1,2,0.5,#c13547,#006a8b,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.013,121,2.513,151,2.013,121,2.513,151,5,0,48,48,2,1,3,0.5,1,2,0.5,#d2b700,#c13547,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.018,121,2.502,150,2.018,121,2.502,150,2,0,49,49,16,1,17,0.5,1,2,0.5,#db8b08,#005692,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.008,120,2.5,150,2.008,120,2.5,150,5,0,50,50,56,1,57,0.5,1,2,0.5,#005692,#006a8b,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.501,150,2,120,2.501,150,5,0,51,51,3,1,4,0.5,1,2,0.5,#d2b700,#a03663,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.5,150,2.001,120,2.5,150,5,0,52,52,19,1,20,0.5,1,2,0.5,#db8b08,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.5,150,2.001,120,2.5,150,4,0,53,53,62,1,63,0.5,1,2,0.5,#006a8b,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
