pair_id,targetA.tStart,targetA.frameNStart,targetA.tEnd,targetA.frameNEnd,targetB.tStart,targetB.frameNStart,targetB.tEnd,targetB.frameNEnd,response,response_type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fixateStartTime,fixateDuration,targetStartTime,targetDuration,colour1,colour2,participant,session,date,expName,psychopyVersion,OS,frameRate
32,0.516,31,1.016,61,0.516,31,1.016,61,5,preference,0,116,116,31,1,0.25,0.25,0.5,0.5,#c13547,#753a7a,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
81,0.501,30,1,60,0.501,30,1,60,2,preference,0,117,117,80,1,0.25,0.25,0.5,0.5,#753a7a,#db8b08,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
54,0.501,30,1.001,60,0.501,30,1.001,60,6,preference,0,118,118,53,1,0.25,0.25,0.5,0.5,#4b488e,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
69,0.502,30,1,60,0.502,30,1,60,2,preference,0,119,119,68,1,0.25,0.25,0.5,0.5,#c13547,#d2b700,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
60,0.517,31,1.002,60,0.517,31,1.002,60,1,preference,0,120,120,59,1,0.25,0.25,0.5,0.5,#005692,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
112,0.517,31,1.015,61,0.517,31,1.015,61,6,preference,0,121,121,111,1,0.25,0.25,0.5,0.5,#4b488e,#753a7a,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
132,0.505,30,1.001,60,0.505,30,1.001,60,6,preference,0,122,122,131,1,0.25,0.25,0.5,0.5,#9aa400,#008a52,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
91,0.5,30,1,60,0.5,30,1,60,2,preference,0,123,123,90,1,0.25,0.25,0.5,0.5,#4b488e,#c7512c,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
66,0.519,31,1.016,61,0.519,31,1.016,61,1,preference,0,124,124,65,1,0.25,0.25,0.5,0.5,#008a52,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
22,0.5,30,1.004,60,0.5,30,1.004,60,4,preference,0,125,125,21,1,0.25,0.25,0.5,0.5,#c7512c,#c13547,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
14,0.516,31,1,60,0.516,31,1,60,5,preference,0,126,126,13,1,0.25,0.25,0.5,0.5,#db8b08,#a03663,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
28,0.5,30,1,60,0.5,30,1,60,5,preference,0,127,127,27,1,0.25,0.25,0.5,0.5,#c7512c,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
111,0.504,30,1.016,61,0.504,30,1.016,61,6,preference,0,128,128,110,1,0.25,0.25,0.5,0.5,#9aa400,#a03663,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
30,0.518,31,1,60,0.518,31,1,60,1,preference,0,129,129,29,1,0.25,0.25,0.5,0.5,#c7512c,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
122,0.512,31,1.014,61,0.512,31,1.014,61,5,preference,0,130,130,121,1,0.25,0.25,0.5,0.5,#9aa400,#4b488e,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
44,0.5,30,1,60,0.5,30,1,60,2,preference,0,131,131,43,1,0.25,0.25,0.5,0.5,#a03663,#008a52,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
